795424ab-a362-4cc2-9211-cbd884fa63d3 | rg-ws-prod-01 | itfcws-prd-admin | Microsoft.Web/sites
795424ab-a362-4cc2-9211-cbd884fa63d3 | rg-ws-prod-01 | itfc-ader-webapp | Microsoft.Web/sites
795424ab-a362-4cc2-9211-cbd884fa63d3 | rg-ws-prod-01 | itfc-sme-webapp | Microsoft.Web/sites
795424ab-a362-4cc2-9211-cbd884fa63d3 | rg-ws-prod-01 | itfcws-prd-webapp | Microsoft.Web/sites
795424ab-a362-4cc2-9211-cbd884fa63d3 | rg-ws-dev-01 | ITFC-DEV-WEBAPP | Microsoft.Web/sites
795424ab-a362-4cc2-9211-cbd884fa63d3 | rg-ws-dev-01 | ITFC-DEV-ADMIN | Microsoft.Web/sites
795424ab-a362-4cc2-9211-cbd884fa63d3 | rg-rsv-dr-01 | itfcws-dr-webapp | Microsoft.Web/sites
795424ab-a362-4cc2-9211-cbd884fa63d3 | rg-rsv-dr-01 | itfcws-dr-admin | Microsoft.Web/sites
795424ab-a362-4cc2-9211-cbd884fa63d3 | rg-ws-prod-01 | ITFCWS-PRD-ASP | Microsoft.Web/serverfarms
795424ab-a362-4cc2-9211-cbd884fa63d3 | rg-ws-dev-01 | ITFCDEVTEST-ASP | Microsoft.Web/serverfarms
795424ab-a362-4cc2-9211-cbd884fa63d3 | ITFC-DMS-RG01 | test | Microsoft.Web/serverfarms
795424ab-a362-4cc2-9211-cbd884fa63d3 | rg-rsv-dr-01 | ITFCWS-DR-ASP | Microsoft.Web/serverfarms
795424ab-a362-4cc2-9211-cbd884fa63d3 | rg-ws-prod-01 | itfcwssqldb-prd | Microsoft.Sql/servers
795424ab-a362-4cc2-9211-cbd884fa63d3 | rg-ws-dev-01 | itfcwssqldev | Microsoft.Sql/servers
795424ab-a362-4cc2-9211-cbd884fa63d3 | rg-rsv-dr-01 | itfcwssqldb-dr | Microsoft.Sql/servers
795424ab-a362-4cc2-9211-cbd884fa63d3 | DefaultResourceGroup-WEU | DefaultWorkspace-795424ab-a362-4cc2-9211-cbd884fa63d3-WEU | Microsoft.OperationalInsights/workspaces
795424ab-a362-4cc2-9211-cbd884fa63d3 | rg-vnet-prod-01 | log-prod-isdb-uaen-itfc | Microsoft.OperationalInsights/workspaces
795424ab-a362-4cc2-9211-cbd884fa63d3 | rg-laws-prod-01 | log-prod-isdb-uaen-itfc | Microsoft.OperationalInsights/workspaces
795424ab-a362-4cc2-9211-cbd884fa63d3 | DefaultResourceGroup-AUH | DefaultWorkspace-795424ab-a362-4cc2-9211-cbd884fa63d3-AUH | Microsoft.OperationalInsights/workspaces
795424ab-a362-4cc2-9211-cbd884fa63d3 | DefaultResourceGroup-EUS | DefaultWorkspace-795424ab-a362-4cc2-9211-cbd884fa63d3-EUS | Microsoft.OperationalInsights/workspaces
d8702c54-b070-4483-bd28-70085a06ed07 | rg-icd-uat-01 | plan-prod-icd-uaen-uatimalasp01 | Microsoft.Web/serverfarms
d8702c54-b070-4483-bd28-70085a06ed07 | rg-icd-uat-01 | iMal-Prod-AKS01 | Microsoft.ContainerService/managedClusters
d8702c54-b070-4483-bd28-70085a06ed07 | rg-imal-prod-01 | iMal-PROD-AKS01 | Microsoft.ContainerService/managedClusters
d8702c54-b070-4483-bd28-70085a06ed07 | rg-imal-uat-01 | iMal-UAT-AKS01 | Microsoft.ContainerService/managedClusters
d8702c54-b070-4483-bd28-70085a06ed07 | rg-icd-uat-01 | la-aks-icd-uae-01 | Microsoft.OperationalInsights/workspaces
d8702c54-b070-4483-bd28-70085a06ed07 | DefaultResourceGroup-DXB | DefaultWorkspace-d8702c54-b070-4483-bd28-70085a06ed07-DXB | Microsoft.OperationalInsights/workspaces
d8702c54-b070-4483-bd28-70085a06ed07 | rg-icd-uat-01 | log-prod-icd-uaen-workspace01 | Microsoft.OperationalInsights/workspaces
d8702c54-b070-4483-bd28-70085a06ed07 | DefaultResourceGroup-EUS | DefaultWorkspace-d8702c54-b070-4483-bd28-70085a06ed07-EUS | Microsoft.OperationalInsights/workspaces
d8702c54-b070-4483-bd28-70085a06ed07 | DefaultResourceGroup-WEU | DefaultWorkspace-d8702c54-b070-4483-bd28-70085a06ed07-WEU | Microsoft.OperationalInsights/workspaces
d8702c54-b070-4483-bd28-70085a06ed07 | rg-icd-uat-01 | crprodisdbuaenicd01 | Microsoft.ContainerRegistry/registries
ffae4854-fa4d-4cd1-bf35-bade24e9377d | rg-laws-prod-01 | log-prod-iciec-uaen-workspace01 | Microsoft.OperationalInsights/workspaces
